Date,Open,High,Low,Close,Adj Close,Volume
7/25/2016,222.270004,231.389999,221.369995,230.009995,230.009995,4490700
7/26/2016,227.690002,230,225.300003,229.509995,229.509995,3430000
7/27/2016,229.339996,233.360001,226.919998,228.490005,228.490005,2889000
7/28/2016,227.949997,230.759995,226.600006,230.610001,230.610001,2419100
7/29/2016,230.699997,235.279999,230.240005,234.789993,234.789993,3070800
8/1/2016,235.5,236.630005,229.380005,230.009995,230.009995,4016300
8/2/2016,229.369995,229.869995,221.399994,227.199997,227.199997,3934400
8/3/2016,227.369995,229.699997,224.210007,225.789993,225.789993,3887800
8/4/2016,225.690002,230.860001,222.050003,230.610001,230.610001,4147000
8/5/2016,230,232,227.399994,230.029999,230.029999,3205200
8/8/2016,228,229.600006,226.089996,226.160004,226.160004,2263600
8/9/2016,226.820007,231.539993,226.649994,229.080002,229.080002,2207800
8/10/2016,228.240005,229.869995,224.619995,225.649994,225.649994,2338300
8/11/2016,226.169998,227.570007,223.410004,224.910004,224.910004,1880900
8/12/2016,225.410004,226.649994,224.039993,225.610001,225.610001,1813500
8/15/2016,226.020004,229.5,224.929993,225.589996,225.589996,2034300
8/16/2016,225.490005,227.190002,223.410004,223.610001,223.610001,2267100
8/17/2016,224.330002,224.830002,222.800003,223.240005,223.240005,1787100
8/18/2016,223.820007,225.660004,222.289993,223.509995,223.509995,1714500
8/19/2016,223.539993,225.169998,222.529999,225,225,1659500
8/22/2016,224.169998,225.110001,222.679993,222.929993,222.929993,2065500
8/23/2016,224.320007,228.490005,222.800003,224.839996,224.839996,4784400
8/24/2016,227.050003,227.149994,222.220001,222.619995,222.619995,2570700
8/25/2016,223.110001,223.800003,220.770004,220.960007,220.960007,1762500
8/26/2016,222.139999,222.860001,218.820007,219.990005,219.990005,2239000
8/29/2016,220.149994,220.399994,215,215.199997,215.199997,3266300
8/30/2016,216.110001,216.110001,210.520004,211.339996,211.339996,3168900
8/31/2016,210.429993,212.600006,208.649994,212.009995,212.009995,3276500
9/1/2016,209.009995,211.100006,200.5,200.770004,200.770004,7943100
9/2/2016,202.330002,203.199997,196.199997,197.779999,197.779999,5977400
9/6/2016,199.020004,203.25,199,202.830002,202.830002,4390600
9/7/2016,205.5,206.5,200.710007,201.710007,201.710007,3640900
9/8/2016,199.550003,199.889999,196.360001,197.360001,197.360001,3377900
9/9/2016,199.089996,199.919998,193.699997,194.470001,194.470001,3757000
9/12/2016,195,201.369995,194.100006,198.300003,198.300003,3715200
9/13/2016,197.059998,198.490005,193.449997,196.050003,196.050003,3589400
9/14/2016,195.75,197.919998,194.860001,196.410004,196.410004,2254500
9/15/2016,196.490005,202.520004,196.399994,200.419998,200.419998,3077200
9/16/2016,200.419998,205.699997,199,205.399994,205.399994,3107800
9/19/2016,207,209.429993,205,206.339996,206.339996,2299500
9/20/2016,206.850006,207.75,203.910004,204.639999,204.639999,2410500
9/21/2016,206.369995,207,201.559998,205.220001,205.220001,2633500
9/22/2016,206.399994,207.279999,203,206.429993,206.429993,2382900
9/23/2016,205.990005,210.179993,205.669998,207.449997,207.449997,2905200
9/26/2016,206.5,211,206.5,208.990005,208.990005,2394400
9/27/2016,209.649994,209.979996,204.610001,205.809998,205.809998,3373200
9/28/2016,207.509995,208.25,205.259995,206.270004,206.270004,2088400
9/29/2016,205.600006,207.330002,200.580002,200.699997,200.699997,2727000
9/30/2016,202.210007,204.979996,199.550003,204.029999,204.029999,2586300
10/3/2016,212.300003,215.669998,208.25,213.699997,213.699997,5999900
10/4/2016,213.100006,213.320007,208.820007,211.410004,211.410004,3541500
10/5/2016,212.240005,213.149994,208.119995,208.460007,208.460007,1877500
10/6/2016,202.460007,204.210007,200.210007,201,201,4703400
10/7/2016,201,201.320007,195.800003,196.610001,196.610001,3493000
10/10/2016,201.350006,204.139999,199.660004,200.949997,200.949997,3316300
10/11/2016,201.850006,202.199997,198.309998,200.100006,200.100006,2328400
10/12/2016,200.949997,203.880005,200.419998,201.509995,201.509995,1970700
10/13/2016,200.5,200.899994,197.050003,200.240005,200.240005,2494600
10/14/2016,200.660004,201.429993,196.300003,196.509995,196.509995,4269900
10/17/2016,197.050003,198.389999,192,193.960007,193.960007,4554100
10/18/2016,195.990005,199.470001,193.259995,199.100006,199.100006,5680500
10/19/2016,199.740005,206.660004,198.059998,203.559998,203.559998,6991200
10/20/2016,202.119995,203,197.050003,199.100006,199.100006,5072900
10/21/2016,198.600006,201.570007,197.410004,200.089996,200.089996,2943400
10/24/2016,201,203.949997,200.25,202.759995,202.759995,2751600
10/25/2016,202.899994,204.690002,201.199997,202.339996,202.339996,2445000
10/26/2016,201,203.190002,200.100006,202.240005,202.240005,5632800
10/27/2016,211.339996,213.699997,201.649994,204.009995,204.009995,13093700
10/28/2016,204,205.320007,199.830002,199.970001,199.970001,4280100
10/31/2016,202.490005,202.490005,195.809998,197.729996,197.729996,4692300
11/1/2016,198.039993,198.5,188.110001,190.789993,190.789993,7060000
11/2/2016,190.050003,192.699997,187.509995,188.020004,188.020004,4253400
11/3/2016,189,191.470001,187.039993,187.419998,187.419998,2653000
11/4/2016,189,193.460007,185.960007,190.559998,190.559998,5146000
11/7/2016,193.589996,194.289993,190.050003,193.210007,193.210007,3870100
11/8/2016,193.789993,197.490005,191.259995,194.940002,194.940002,3267600
11/9/2016,186.880005,192,183.949997,190.059998,190.059998,8173100
11/10/2016,191.050003,191.610001,180.419998,185.350006,185.350006,6750300
11/11/2016,184.240005,188.880005,183,188.559998,188.559998,3988500
11/14/2016,188,188.25,178.190002,181.449997,181.449997,6552200
11/15/2016,182.779999,186.429993,182.050003,183.770004,183.770004,3902000
11/16/2016,182.649994,184.729996,181.210007,183.929993,183.929993,3434400
11/17/2016,183.490005,189.490005,182.110001,188.660004,188.660004,4887100
11/18/2016,190.649994,193,185,185.020004,185.020004,5210300
11/21/2016,185.039993,188.889999,184.410004,184.520004,184.520004,4361000
11/22/2016,185.839996,191.470001,183.710007,191.169998,191.169998,5603400
11/23/2016,190.610001,195.639999,189,193.139999,193.139999,4891900
11/25/2016,193.639999,197.240005,193.639999,196.649994,196.649994,2366100
11/28/2016,195.479996,199.350006,194.550003,196.119995,196.119995,4529200
11/29/2016,195.559998,196.729996,189.5,189.570007,189.570007,4439300
11/30/2016,191,191.889999,187.5,189.399994,189.399994,3547100
12/1/2016,188.25,188.529999,181,181.880005,181.880005,5126400
12/2/2016,182.880005,184.880005,180,181.470001,181.470001,4042300
12/5/2016,182.509995,188.889999,182.509995,186.800003,186.800003,4072200
12/6/2016,185.520004,186.580002,182.679993,185.850006,185.850006,3391600
